record_id,year,exam,round,category,home_region,university_quota,stream,branch,college_code,college_name,college_type,city,district,state,naac_grade,naac_score,nirf_rank,fees_per_year,total_seats,category_seats,student_percentile,student_rank,aptitude_score,aptitude_stream_suitability,closing_percentile,closing_rank,previous_year_closing_percentile,previous_year_closing_rank,cutoff_trend_3yr,admission_probability
1,2024,MHT CET,CAP Round 2,VJNT,Mumbai University,Other University,Engineering,Cyber Security,03139,"Vidyalankar Institute of Technology, Wadala, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A+,3.32,340,155000,720,4,83.88,40437,72,Technology,89.7,26161,88.9,28086,Increasing: 87.80->88.90->89.70,Low
2,2023,JEE,CAP Round 1,OPEN,Pune University,All India,Engineering,Electronics and Telecommunication Engineering,06277,"Bharati Vidyapeeth College of Engineering, Pune",Private,Pune,Pune,Maharashtra,A+,3.4,250,140000,720,31,99.95,1951,77,Technology,98.0,25143,96.9,37695,Increasing: 96.90->98.00->98.80,Medium
3,2023,MHT CET,CAP Round 1,VJNT,Pune University,Home University,Engineering,Cyber Security,06283,"Indira College of Engineering and Management, Pune",Private,Pune,Pune,Maharashtra,B++,2.9,520,110000,540,4,75.39,61844,75,Technology,78.4,54243,77.3,56844,Increasing: 77.30->78.40->79.20,Low
4,2022,MHT CET,CAP Round 2,OBC,Mumbai University,All India,Engineering,Mechanical Engineering,03121,"Pillai College of Engineering, Mumbai Region",Private,Mumbai,Mumbai,Maharashtra,A,3.05,410,133000,660,18,79.43,51737,67,Mechanical,81.4,47041,80.6,48592,Increasing: 81.40->82.50->83.30,Medium
5,2022,MHT CET,CAP Round 3,OBC,Mumbai University,All India,Engineering,Information Technology,03117,"Watumull Institute of Electronics Engineering and Computer Technology, Worli, Mumbai",Private,Mumbai,Mumbai,Maharashtra,B+,2.68,545,113000,360,8,78.94,53122,89,Technology,77.7,56095,76.9,58263,Increasing: 77.70->78.80->79.60,Medium
6,2024,JEE,CAP Round 2,OBC,Pune University,All India,Engineering,Electrical Engineering,06274,"MIT World Peace University School of Engineering, Pune",Private,Pune,Pune,Maharashtra,A+,3.42,199,280000,840,29,93.4,79250,71,Technology,95.0,60196,94.2,69905,Increasing: 93.10->94.20->95.00,Medium
7,2024,JEE,CAP Round 3,EWS,Mumbai University,All India,Engineering,Mechanical Engineering,03113,"Rajiv Gandhi Institute of Technology, Andheri, Mumbai",Private,Mumbai,Mumbai,Maharashtra,B++,2.94,485,120000,540,9,79.16,250297,81,Mechanical,80.8,231070,80.0,240430,Increasing: 78.90->80.00->80.80,Medium
8,2022,MHT CET,CAP Round 3,OBC,Mumbai University,Other University,Engineering,Electronics and Telecommunication Engineering,03139,"Vidyalankar Institute of Technology, Wadala, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A+,3.32,340,155000,720,19,83.88,40356,80,Technology,86.9,33114,86.1,35166,Increasing: 86.90->88.00->88.80,Low
9,2023,MHT CET,CAP Round 1,OPEN,Mumbai University,Other University,Engineering,Robotics and Automation,03116,"St. Francis Institute of Technology, Borivali, Mumbai",Private,Mumbai,Mumbai,Maharashtra,A,3.16,360,145000,660,36,87.01,32825,92,Technology,93.1,17488,92.0,20533,Increasing: 92.00->93.10->93.90,Low
10,2024,JEE,CAP Round 1,EWS,Pune University,Other University,Engineering,Information Technology,06289,"TSSM's Bhivarabai Sawant College of Engineering and Research, Pune",Private,Pune,Pune,Maharashtra,B+,2.69,610,103000,480,7,74.96,300803,88,Technology,79.4,248214,78.6,258238,Increasing: 77.50->78.60->79.40,Low
11,2024,JEE,CAP Round 3,VJNT,Pune University,Other University,Engineering,Cyber Security,06276,"Army Institute of Technology, Pune",Private,Pune,Pune,Maharashtra,A,3.33,180,190000,480,4,98.62,18140,99,Technology,95.2,59118,94.4,68429,Increasing: 93.30->94.40->95.20,High
